relation_id,record_id,source_row,产业园名称,原始产业,standard_chain,stage,node_id,node_name,relation_scope,confidence,chain_score,node_score,matched_name_terms,matched_intro_terms,match_reason,candidate_nodes
rel-0000020,park-000011,12,常熟经济技术开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000021,park-000011,12,常熟经济技术开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000022,park-000011,12,常熟经济技术开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000023,park-000011,12,常熟经济技术开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000024,park-000012,13,南京江宁经济开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000025,park-000012,13,南京江宁经济开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000026,park-000012,13,南京江宁经济开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000027,park-000012,13,南京江宁经济开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000028,park-000012,13,南京江宁经济开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000029,park-000013,14,杭州出口加工区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000030,park-000013,14,杭州出口加工区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000031,park-000013,14,杭州出口加工区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000032,park-000013,14,杭州出口加工区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000033,park-000013,14,杭州出口加工区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000034,park-000014,15,合肥经济技术开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000035,park-000014,15,合肥经济技术开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000036,park-000014,15,合肥经济技术开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000037,park-000014,15,合肥经济技术开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000038,park-000014,15,合肥经济技术开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000039,park-000015,16,宁波高新技术产业开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000040,park-000015,16,宁波高新技术产业开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000041,park-000015,16,宁波高新技术产业开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000042,park-000015,16,宁波高新技术产业开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000043,park-000015,16,宁波高新技术产业开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000044,park-000016,17,安庆经济技术开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000045,park-000016,17,安庆经济技术开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000046,park-000016,17,安庆经济技术开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000047,park-000016,17,安庆经济技术开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000048,park-000016,17,安庆经济技术开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000049,park-000017,18,鞍山（辽宁）天和文化产业园,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000050,park-000017,18,鞍山（辽宁）天和文化产业园,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000051,park-000017,18,鞍山（辽宁）天和文化产业园,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000052,park-000017,18,鞍山（辽宁）天和文化产业园,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000053,park-000017,18,鞍山（辽宁）天和文化产业园,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000054,park-000018,19,宝鸡国家高新技术产业开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000055,park-000018,19,宝鸡国家高新技术产业开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000056,park-000018,19,宝鸡国家高新技术产业开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000057,park-000018,19,宝鸡国家高新技术产业开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000058,park-000018,19,宝鸡国家高新技术产业开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000059,park-000019,20,沧江工业园,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000060,park-000019,20,沧江工业园,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000061,park-000019,20,沧江工业园,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000062,park-000019,20,沧江工业园,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000063,park-000019,20,沧江工业园,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000064,park-000020,21,常熟科技城,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000065,park-000020,21,常熟科技城,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000066,park-000020,21,常熟科技城,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000067,park-000020,21,常熟科技城,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000068,park-000020,21,常熟科技城,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000069,park-000021,22,郴州高新技术产业开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000070,park-000021,22,郴州高新技术产业开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000071,park-000021,22,郴州高新技术产业开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000072,park-000021,22,郴州高新技术产业开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000073,park-000021,22,郴州高新技术产业开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000074,park-000022,23,益阳高新技术产业开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000075,park-000022,23,益阳高新技术产业开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000076,park-000022,23,益阳高新技术产业开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000077,park-000022,23,益阳高新技术产业开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000078,park-000022,23,益阳高新技术产业开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000079,park-000023,24,源城高新技术产业开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000080,park-000023,24,源城高新技术产业开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000081,park-000023,24,源城高新技术产业开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000082,park-000023,24,源城高新技术产业开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000083,park-000023,24,源城高新技术产业开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000084,park-000024,25,枣庄高新技术产业开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000085,park-000024,25,枣庄高新技术产业开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000086,park-000024,25,枣庄高新技术产业开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000087,park-000024,25,枣庄高新技术产业开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000088,park-000024,25,枣庄高新技术产业开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000089,park-000025,26,张家港经济开发区,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000090,park-000025,26,张家港经济开发区,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
rel-0000091,park-000025,26,张家港经济开发区,电子信息,智能物联与消费电子产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-016:传感器、芯片模组与基础器件；node-017:智能终端、家电与物联平台；node-018:智慧家庭、行业物联与消费场景
rel-0000092,park-000025,26,张家港经济开发区,电子信息,新型显示与虚拟现实产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-052:显示材料、光学器件与核心部件；node-053:显示面板、终端与VR设备制造；node-054:沉浸式内容、行业应用与消费场景
rel-0000093,park-000025,26,张家港经济开发区,电子信息,软件与数字安全产业链,待细分,,,产业链级（候选节点待复核）,低,32,0,,,产业标签:电子信息宽口径候选,node-055:基础软件、密码与可信技术；node-056:应用软件、区块链平台与安全产品；node-057:政企数字化、可信流通与安全运营
rel-0000094,park-000026,27,张家港市国家高新技术创业园,电子信息,新一代信息基础设施产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-028:通信与算力硬件设备；node-029:5G网络、数据中心与云边平台；node-030:云网算服务与行业数字化支撑
rel-0000095,park-000026,27,张家港市国家高新技术创业园,电子信息,半导体与集成电路产业链,待细分,,,产业链级（候选节点待复核）,低,34,0,,,产业标签:电子信息宽口径候选,node-046:半导体材料与制造设备；node-047:芯片设计、制造、封测与集成电路；node-048:电子终端、汽车与工业芯片应用
