node_id,standard_chain,stage,node_name,node_description,mapped_standard_segments,mapped_original_folders,source_company_count_sum,mapping_type,original_fields_available,original_node_samples
node-011,医药生物与医疗健康产业链,中游,药械生产、医疗装备与数字平台,覆盖药品生产、医疗器械、医疗机器人和医疗数字化平台。,医药生物、生物药品、化学药品、医疗器械、医疗机器人、医疗数字化,医药生物产业链企查查；生物药品产业链企查查；化学药品产业链企查查；医疗器械产业链企查查；医疗机器人；医疗数字化,231395,原始方向+标准链推导,ID、一级分类、七级分类、三级分类、不可用电话、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、融资上市、资质、通信地址、邮箱,医药生物产业链企查查:SMO服务、专科医院运营、中医器械、中成药、中药材/饮片、体外诊断设备、体外诊断试剂及耗材、化药制剂、医用决策支持软件、医用康复器械；生物药品产业链企查查:专科医院运营、中医院运营、亚单位疫苗与多肽疫苗、免疫球蛋白、其他医院运营、其他生物药品、其他疫苗、其他血液制品、减毒疫苗、凝血因子；化学药品产业链企查查:SMO服务、专科医院运营、儿科用药、免疫系统用药、医药CDMO、医药CMO、医药CRO、医药中间体、医药批发、医药电商；医疗器械产业链企查查:-、专科医院运营、中医器械、中医院运营、体外诊断设备及耗材制造、其他医院运营、医用决策支持软件、医用康复器械、医用影像处理软件、医用成像器械
node-012,医药生物与医疗健康产业链,下游,医疗服务、临床应用与健康管理,覆盖医院/机构应用、数字健康服务、临床诊断和康复场景。,医疗器械、体外诊断、医疗数字化、医疗机器人,医疗器械产业链企查查；体外诊断产业链企查查；医疗数字化；医疗机器人,184681,标准链推导,ID、一级分类、七级分类、三级分类、不可用电话、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、融资上市、资质、通信地址、邮箱,医疗器械产业链企查查:-、专科医院运营、中医器械、中医院运营、体外诊断设备及耗材制造、其他医院运营、医用决策支持软件、医用康复器械、医用影像处理软件、医用成像器械；体外诊断产业链企查查:-、体外诊断服务、体外诊断类软件、体外诊断耗材、免疫分析设备、免疫诊断试剂、其他体外诊断设备、其他体外诊断试剂、分子生物学分析设备、分子诊断试剂
node-013,新能源与电力装备产业链,上游,新能源材料、电芯与发电设备,覆盖锂电材料、电芯、光伏组件、风电装备和关键设备。,锂离子电池、光伏生产设备、光伏、风电,锂离子电池产业链企查查；光伏生产设备；光伏产业链企查查；风电产业链企查查,12322,原始方向+标准链推导,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、资质、通信地址、邮箱,锂离子电池产业链企查查:-、三元材料、三元锂电池、储能锂电池、动力锂电池、消费锂电池、电池回收利用、石墨负极材料、硅碳负极材料、磷酸铁锂；光伏产业链企查查:-、PET薄膜、储能用铅酸蓄电池、光伏接线盒、光伏支架、光伏汇流箱、光伏硅片、光伏级多晶硅、光伏组件、光伏逆变器；风电产业链企查查:法兰、海上风力发电、海岸风力发电、涂料、环氧树脂、玻璃纤维、电力电缆、碳纤维、结构胶、聚氨酯泡沫
node-014,新能源与电力装备产业链,中游,发电、储能与输配电装备,覆盖光伏/风电发电系统、储能系统、特高压输配电装备。,光伏、风电、储能、特高压,光伏产业链企查查；风电产业链企查查；储能类；特高压产业链企查查,181966,原始方向+标准链推导,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、联系电话、英文名、营业期限、融资上市、通信地址、邮箱,光伏产业链企查查:-、PET薄膜、储能用铅酸蓄电池、光伏接线盒、光伏支架、光伏汇流箱、光伏硅片、光伏级多晶硅、光伏组件、光伏逆变器；风电产业链企查查:法兰、海上风力发电、海岸风力发电、涂料、环氧树脂、玻璃纤维、电力电缆、碳纤维、结构胶、聚氨酯泡沫；特高压产业链企查查:IGBT、交流互感器、传感器、供电、全封闭组合电器(GIS)、平波电抗器、开关电器、换流变压器、换流阀、架空导线
node-015,新能源与电力装备产业链,下游,电力消纳、能源服务与场景应用,覆盖电网消纳、工商业储能、新能源运营和综合能源服务。,储能、特高压、光伏、风电,储能类；特高压产业链企查查；光伏产业链企查查；风电产业链企查查,181966,标准链推导,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、联系电话、英文名、营业期限、融资上市、通信地址、邮箱,特高压产业链企查查:IGBT、交流互感器、传感器、供电、全封闭组合电器(GIS)、平波电抗器、开关电器、换流变压器、换流阀、架空导线；光伏产业链企查查:-、PET薄膜、储能用铅酸蓄电池、光伏接线盒、光伏支架、光伏汇流箱、光伏硅片、光伏级多晶硅、光伏组件、光伏逆变器；风电产业链企查查:法兰、海上风力发电、海岸风力发电、涂料、环氧树脂、玻璃纤维、电力电缆、碳纤维、结构胶、聚氨酯泡沫
node-016,智能物联与消费电子产业链,上游,传感器、芯片模组与基础器件,覆盖物联网感知器件、通信模组、智能终端基础部件。,物联网、智能物联、消费电子,物联网产业链企查查；智能物联；消费电子产业链企查查,153738,标准链推导,ID、一级分类、七级分类、三级分类、不可用电话、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、融资上市、通信地址、邮箱,物联网产业链企查查:IT系统集成、LoRa模块、MCU、NB-IoT模块、RFID电子标签、RFID读写设备、SoC、Wifi模组、Zigbee模块、云计算服务；消费电子产业链企查查:-、DSP、OLED显示屏、VR/AR设备、主板组件、便携音乐播放器、元器件与零部件、基础元器件、消费电子零部件、摄像头模组零部件、精密结构件、消费电子设备、个人消费电子设备、智能手机、元器件与零部件、基础元器件、消费电子零部件、集成电路、电子显示屏、OLED显示屏、消费电子设备、其他消费电子设备、车载影音、元器件与零部件、基础元器件、集成电路、摄像头模组零部件、光学镜头、图像传感器、消费电子设备、个人消费电子设备、智能手机、可穿戴电子设备、照相机、耳机、游戏设备、家庭消费电子设备、电视机、音箱、音响、其他消费电子设备、电子教育设备、VR/AR设备、车载影音、摄像机、投影仪、家庭影院、电子阅读器、元器件与零部件、基础元器件、集成电路、消费电子设备、个人消费电子设备、平板电脑
node-017,智能物联与消费电子产业链,中游,智能终端、家电与物联平台,覆盖智能手机、家电、消费电子、智能物联平台与终端制造。,智能手机、家用电器、消费电子、智能物联、物联网,智能手机产业链企查查；家用电器产业链企查查；消费电子产业链企查查；智能物联；物联网产业链企查查,174017,原始方向+标准链推导,ID、一级分类、七级分类、三级分类、不可用电话、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、融资上市、通信地址、邮箱,智能手机产业链企查查:CPU芯片、OLED显示面板、光学镜头、印制电路板、图像传感器、基础电信服务、存储器芯片、射频天线、射频芯片、手机主板；家用电器产业链企查查:-、个人护理小家电、健身电器、冰箱、冰箱配件、厨房垃圾处理器、厨房小家电、取暖电器、吸油烟机、家用影视设备；消费电子产业链企查查:-、DSP、OLED显示屏、VR/AR设备、主板组件、便携音乐播放器、元器件与零部件、基础元器件、消费电子零部件、摄像头模组零部件、精密结构件、消费电子设备、个人消费电子设备、智能手机、元器件与零部件、基础元器件、消费电子零部件、集成电路、电子显示屏、OLED显示屏、消费电子设备、其他消费电子设备、车载影音、元器件与零部件、基础元器件、集成电路、摄像头模组零部件、光学镜头、图像传感器、消费电子设备、个人消费电子设备、智能手机、可穿戴电子设备、照相机、耳机、游戏设备、家庭消费电子设备、电视机、音箱、音响、其他消费电子设备、电子教育设备、VR/AR设备、车载影音、摄像机、投影仪、家庭影院、电子阅读器、元器件与零部件、基础元器件、集成电路、消费电子设备、个人消费电子设备、平板电脑；物联网产业链企查查:IT系统集成、LoRa模块、MCU、NB-IoT模块、RFID电子标签、RFID读写设备、SoC、Wifi模组、Zigbee模块、云计算服务
node-018,智能物联与消费电子产业链,下游,智慧家庭、行业物联与消费场景,覆盖智能家居、行业物联、消费电子渠道与服务。,家用电器、消费电子、智能物联、物联网,家用电器产业链企查查；消费电子产业链企查查；智能物联；物联网产业链企查查,168170,标准链推导,ID、一级分类、七级分类、三级分类、不可用电话、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、公司类型、六级分类、其他电话、其他邮箱、原文件导入名称、参保人数、参保人数所属年报、可用电话、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报地址、最新年报年份、核准日期、法定代表人、注册号、注册地址、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、网址、英文名、荣誉、营业期限、融资上市、通信地址、邮箱,家用电器产业链企查查:-、个人护理小家电、健身电器、冰箱、冰箱配件、厨房垃圾处理器、厨房小家电、取暖电器、吸油烟机、家用影视设备；消费电子产业链企查查:-、DSP、OLED显示屏、VR/AR设备、主板组件、便携音乐播放器、元器件与零部件、基础元器件、消费电子零部件、摄像头模组零部件、精密结构件、消费电子设备、个人消费电子设备、智能手机、元器件与零部件、基础元器件、消费电子零部件、集成电路、电子显示屏、OLED显示屏、消费电子设备、其他消费电子设备、车载影音、元器件与零部件、基础元器件、集成电路、摄像头模组零部件、光学镜头、图像传感器、消费电子设备、个人消费电子设备、智能手机、可穿戴电子设备、照相机、耳机、游戏设备、家庭消费电子设备、电视机、音箱、音响、其他消费电子设备、电子教育设备、VR/AR设备、车载影音、摄像机、投影仪、家庭影院、电子阅读器、元器件与零部件、基础元器件、集成电路、消费电子设备、个人消费电子设备、平板电脑；物联网产业链企查查:IT系统集成、LoRa模块、MCU、NB-IoT模块、RFID电子标签、RFID读写设备、SoC、Wifi模组、Zigbee模块、云计算服务
node-019,石油化工产业链,上游,油气资源与基础化工原料,覆盖油气资源、煤化工原料和基础化工原料供给。,石油化工,石油化工产业链企查查,113876,宽口径原始方向拆分,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,石油化工产业链企查查:-、ABS塑料、PET纤维、PE塑料、PP塑料、PS塑料、PVC塑料、丁二烯、丁基橡胶、丁烷
node-020,石油化工产业链,中游,炼化加工与化工材料制造,覆盖炼油、烯烃芳烃、化工材料和中间体制造。,石油化工,石油化工产业链企查查,113876,宽口径原始方向拆分,ID、一级分类、七级分类、三级分类、二级分类、五级分类、产业位置、产业关联性、产业链节点、企业(机构)类型、企业地址、企业简介、企业规模、八级分类、公司名称、六级分类、原文件导入名称、参保人数、参保人数所属年报、四级分类、国标行业中类、国标行业大类、国标行业小类、国标行业门类、官网、实缴资本、成立日期、所属区县、所属城市、所属省份、更多电话、更多邮箱、曾用名、最新年报年份、核准日期、法定代表人、注册号、注册资本、电话、登记机关、登记状态、系统匹配企业名称、纳税人识别号、纳税人资质、组织机构代码、经营范围、统一社会信用代码、英文名、营业期限、融资上市、通信地址、邮箱,石油化工产业链企查查:-、ABS塑料、PET纤维、PE塑料、PP塑料、PS塑料、PVC塑料、丁二烯、丁基橡胶、丁烷
